Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19118.79,229425.48,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Increased_Cost ,US East (N. Virginia),EC2 web server,Amazon EC2 ,0,400.84799999999996,4810.18,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (t4g.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), DT Inbound: All other regions (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Increased_Cost ,US East (N. Virginia),S3,S3 Standard,0,353.28,4239.36,USD,,S3 Standard storage (15 TB per month)
Increased_Cost ,US East (N. Virginia),S3,S3 One Zone - Infrequent Access,0,204.8,2457.60,USD,,S3 One Zone-IA storage (20 TB per month)
Increased_Cost ,US East (N. Virginia),S3,Data Transfer,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"
Increased_Cost ,US East (N. Virginia),EC2 web server,Amazon EC2 ,0,400.84799999999996,4810.18,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (t4g.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), DT Inbound: All other regions (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Increased_Cost ,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,772.9999999999999,9276.00,USD,,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB), Nodes (2), Instance Type (db.m1.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
Increased_Cost ,US East (N. Virginia),Data Transfer,AWS Data Transfer,0,921.6,11059.20,USD,,"DT Inbound: Internet (10 TB per month), DT Outbound: Internet (10 TB per month), DT Intra-Region: (0 TB per month)"
Increased_Cost ,US East (N. Virginia),CloudFront,Amazon CloudFront,0,1075.2,12902.40,USD,,"Data transfer out to internet (10 TB per month), Number of requests (HTTPS) (1000 per month), Data transfer out to origin (10 TB per month)"
Increased_Cost ,US East (N. Virginia),,VPN Connection,0,0,0.00,USD,,Working days per month (22)
Increased_Cost ,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,2336.85,28042.20,USD,,Number of NAT Gateways (1)
Increased_Cost ,US East (N. Virginia), ElastiCache,Amazon ElastiCache,0,6815.28,81783.36,USD,,"Nodes (3), Instance type (cache.m4.10xlarge), Cache Engine (Memcached), Utilization (On-Demand only) (100 %Utilized/Month), Cache Node Type (Standard), Pricing strategy (OnDemand), Nodes (0), Instance type (cache.r6gd.12xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Redis), Cache Node Type (Memory optimized), Pricing strategy (OnDemand)"
Increased_Cost ,US East (N. Virginia),CloudWatch,Amazon CloudWatch,0,5837.08,70044.96,USD,,"Number of Metrics (includes detailed and custom metrics) (1000), GetMetricData: Number of metrics requested (1000000), Number of other API requests (1000000), GetMetricWidgetImage: Number of metrics requested (1000000), Standard Logs: Data Ingested (10 TB), Number of Dashboards (100), Number of Standard Resolution Alarm Metrics (100), Number of High Resolution Alarm Metrics (100)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
