Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,8212.35,98548.20,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Initial_Cost_Estimate,US East (N. Virginia),EC2 web server,Amazon EC2 ,0,400.84799999999996,4810.18,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (t4g.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), DT Inbound: All other regions (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),S3,S3 Standard,0,2304,27648.00,USD,,S3 Standard storage (100 TB per month)
Initial_Cost_Estimate,US East (N. Virginia),S3,Data Transfer,0,0,0.00,USD,,
Initial_Cost_Estimate,US East (N. Virginia),EC2 web server,Amazon EC2 ,0,400.84799999999996,4810.18,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (t4g.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), DT Inbound: All other regions (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,772.9999999999999,9276.00,USD,,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB), Nodes (2), Instance Type (db.m1.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
Initial_Cost_Estimate,US East (N. Virginia),Data Transfer,AWS Data Transfer,0,921.6,11059.20,USD,,"DT Inbound: Internet (10 TB per month), DT Outbound: Internet (10 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (921.6)"
Initial_Cost_Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,1075.2,12902.40,USD,,"Data transfer out to internet (10 TB per month), Number of requests (HTTPS) (1000 per month), Data transfer out to origin (10 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),,VPN Connection,0,0,0.00,USD,,Working days per month (22)
Initial_Cost_Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,2336.85,28042.20,USD,,Number of NAT Gateways (1)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
